item,count
q,1549075
this,61313
goe,1774
to,896895
wefarm,47750
is,964418
it,252534
possibl,9174
get,155301
for,353014
us,4746
market,64037
our,12111
product,44972
thax,460
i,962786
have,166749
stock,3594
rabbit,53090
s,77999
urin,7751
5,7309
week,19615
mashambani,16
store,6747
at,83849
kericho,7146
town,4903
watakubali,1
kununua,42
1litr,175
how,699114
mani,114723
shile,161
j,10594
mi,6762
10000,772
can,685831
start,78770
aproject,438
of,880628
poutri,5867
do,362454
where,131389
seed,92082
coconut,736
which,473894
plant,339330
has,63976
omega3,1
am,84020
jackson,492
from,112289
ibanda,2501
if,69281
want,96679
grow,107712
tomato,152130
on,147548
alarg,399
scale,5491
season,61365
use,226725
target,377
agood,4288
what,938189
are,272405
the,884224
effect,17168
anim,56235
wast,2415
potato,62374
apli,2908
dure,31471
my,364652
found,9685
in,672002
nandi,5667
counti,39136
manag,17671
coffe,49764
diseas,82421
rais,3498
seedl,24141
find,16555
them,51229
mbale,1091
much,102927
price,75031
1kg,6342
onion,38434
farmgat,35
iron,656
hen,85369
control,101283
armi,5847
worm,12827
feild,55
medicin,48072
be,186732
given,20131
pig,70064
with,89526
swine,1710
fever,6778
palmoil,3
tree,28261
mean,20287
name,34051
cow,186037
a,462172
plantat,37828
hw,50529
month,53526
doe,115863
cassava,20586
take,103538
stop,33896
banana,84413
wilt,20697
question,20782
sukumawiki,5758
best,244175
type,157318
rear,32267
bad,4295
npk,4392
irish,16492
improv,35765
kienyeji,21773
ìs,36
sesion,175
pasion,1125
fruit,41426
isit,119
true,7268
that,153705
when,116454
u,50663
sugercain,20
around,10408
garden,31559
protect,6457
un,1289
armyworm,3324
qn,29181
there,45087
ani,35448
solut,6258
4,50787
make,50165
dryup,74
still,8665
matur,34979
problem,47506
rust,3124
prevent,42561
your,84705
offic,4500
kabal,1664
district,12503
strongest,148
chemicalto,1
spray,64980
against,3093
day,48143
did,19067
harvest,47481
enough,5091
milk,63080
stoni,224
piec,3994
land,34633
inherit,108
dad,118
would,30697
like,53540
establish,1318
should,97841
thank,17496
you,82184
an,39355
whi,80461
maiz,240688
low,7391
qwhat,22547
exact,2248
kilo,6797
gram,3196
world,1765
cabbag,53935
common,6871
lay,31948
small,19447
size,7016
egg,65778
custom,1423
seek,346
bigger,1078
could,25686
wts,241
n,19532
kisumu,2145
pre,1063
haverst,848
interv,1343
fertil,63139
shuold,288
stage,17798
good,106483
crop,96929
appli,34021
spinach,4664
whose,1328
leav,40426
rot,9602
differ,12451
affect,33423
keep,49392
turkey,4832
old,23542
one,114972
farmer,85041
identifi,3165
farm,141594
and,354005
import,21738
method,33726
e,47802
rice,20231
well,38178
mountain,749
area,33815
bean,100451
almost,3246
flower,25769
chemic,51661
recommand,99
2,101200
abl,3403
they,61399
ongo,45
anthrax,1475
apart,11479
tradit,1036
weevil,2533
by,114275
bamukunda,2
sign,21709
symptom,4366
kenya,15647
growth,12552
afarm,12728
welt,427
composit,723
foliar,3605
feed,70618
dairi,38421
cattl,39032
stale,16
paw,1323
ovacado,3093
capit,7493
30,1770
000,1945
invest,1517
local,18597
chicken,81186
breed,49485
viabl,281
ben,763
rachuonyo,30
sub,3643
we,94259
sick,9044
d0cking,4
d0ne,3
treatment,10950
mucus,2583
appear,1500
not,52270
normal,5589
sheep,26442
know,61281
layer,22074
butter,907
nut,11166
wither,1163
better,12451
sandi,1653
soil,65854
torror,1
vanilla,3417
cost,33150
per,27365
kg,18768
mbarara,4063
long,90400
need,64807
rest,641
night,3576
5000,582
abusin,26
ad,3496
varieti,39435
their,26426
spiec,126
coccidiosi,3642
livestock,21969
infecti,314
contagi,169
or,61084
zoonot,170
sell,27009
murungaru,5
kinagop,14
pesticid,13702
tick,13667
green,17633
hous,15833
give,97286
me,107331
time,56533
will,60524
feedback,224
bacteria,5926
age,9111
been,14930
birth,23389
calf,22934
just,7605
6,3018
about,34719
but,57056
dont,6732
respond,1249
pumpkin,5179
paid,305
bungoma,7298
qualiti,18321
watermelon,19453
betungabruno,2
gmail,886
com,1738
bring,6314
bloat,2355
benefit,8292
importan,167
dri,42340
herbicid,12797
kill,19784
amarthus,1
doodo,171
abean,212
alegum,13
eye,13289
infect,3754
poultri,63626
caus,85091
pawpaw,4723
hectar,2123
passion,20878
up,23236
due,3117
shade,2698
off,7756
yellow,22562
spote,73
39000,1
100,4273
main,9289
qio,4
fenc,1628
measur,11684
taken,5651
liver,884
fluke,483
now,40735
havest,6095
shotest,41
distanc,2656
advisebl,125
graviellia,1
alongsid,135
feet,2022
shuld,724
step,7423
frm,5429
each,8478
vegetabbl,4
fertlize,1295
fresiam,4
heifer,6408
more,27823
than,11402
qi,2125
dt,126
as,37391
atobbacco,3
fight,2453
aproblem,1796
tobbacco,202
coil,198
shape,558
qhow,12656
sugarcan,11813
avocado,6281
bag,12733
90kgs,527
befor,19704
after,54240
pestsit,106
whitefli,714
kamweng,2219
sale,9474
his,7221
her,6363
ahsant,8
walimaji,1
nyot,3
uganda,18703
statard,1
avoid,7637
treat,30102
bt,11707
don,7179
t,22585
h,1808
ve,3994
order,10477
goat,58259
raini,7436
qdoe,140
nail,212
help,43808
matter,1605
z,22418
most,20118
insecticid,4452
insect,8400
continu,1676
miss,714
some,43362
sweetpotato,2255
inccreas,1
incom,1744
generat,762
male,9427
castrat,8817
q2,1136
rotat,10032
cri,1021
ekyijubw,1
call,25725
runyakor,42
condit,8690
requir,15743
climat,5957
suitabl,22743
beatroot,226
heal,829
footrot,459
direct,3628
madecin,654
sing,526
no,20905
chang,8304
remov,8115
bright,3117
2kgs,260
mash,5998
satisfi,424
were,7907
eros,8184
harmless,41
bee,23274
detect,967
cocidiosi,788
lyk,1666
2know,364
mulch,9439
atlst,12
two,21760
en,7613
productn,60
luuka,558
updat,387
current,7666
tortois,99
domest,1926
high,21271
demand,1950
deal,3373
tobacco,1709
300tree,1
provid,3548
such,4806
jane,566
ask,139700
way,33720
pleas,19353
kuku,3155
nyamira,617
right,11269
caltiv,396
capsicum,1410
kital,2246
20,3851
chick,85058
then,10954
collect,1544
brood,2342
captal,130
run,2190
hachit,1
jacarada,4
chiken,5079
ican,2473
watermellon,2482
r,7922
qfodder,1
eat,30069
grain,2758
suppliment,252
readi,20430
wholsal,2
l,33222
hand,1178
ruku,1
kabet,61
kiambu,905
stapier,1
grass,18851
produc,44694
less,2721
artifici,5760
reproduct,1107
system,5011
ovr,13
orign,81
act,706
mango,9826
nd,2041
macadamia,1284
fall,8780
down,7714
prematur,1300
b,9935
th,2515
white,9862
sorghum,3521
probbl,2
buyer,3125
amount,4862
food,32555
consum,2204
four,4295
qwhere,3030
potenti,263
amal,1332
femal,8977
thankyou,266
wrinkl,74
kilifi,677
pest,31782
stalk,2605
platat,578
varti,21
money,15838
akiro,10
ihav,6618
ill,1144
enlag,13
mauth,73
kind,27095
dies,311
anirish,1
pototo,710
b4,3065
may,12883
bull,14192
between,14900
fech,10
rose,1081
water,36815
melon,12050
whici,151
develop,5421
thatt,2
cure,9292
quava,89
non_chem,2
plot,1261
impot,1028
drug,21485
weed,36984
master,1068
put,13977
yield,21908
1,19063
litr,5797
rid,1570
destroy,10125
babi,988
15,1370
suck,2333
cowdog,1
attack,19065
leg,4898
weak,4750
unabl,758
walk,1785
so,37614
attain,445
3,13428
year,16107
guy,1271
jack,1034
lot,2455
ripe,3091
number,11503
anser,321
gadan,4
pigglet,477
becom,11595
abit,142
fatti,231
ashort,237
period,24078
6monnth,1
eg,3701
out,16877
wha,2173
peopl,8732
dog,10133
famili,1295
plane,1070
adog,453
wat,56717
gud,4395
begin,2912
procedur,11193
placenta,2467
afterbirth,322
black,12720
manakuu,6
enterpris,295
bird,17134
formul,487
10,4605
by10,5
onionx,7
harm,1938
health,5413
acid,2883
rain,23953
who,41429
tumoteet,1
hauvest,2
qfor,210
millet,9455
spent,636
lead,3225
abanana,1539
first,12812
turn,11821
into,5534
colour,9250
inseticid,38
bactrocera,2
dorsali,1
fli,4132
hallo,295
d,7972
wish,3268
lowest,278
highest,1922
gate,719
countri,2967
delt,13
regard,436
red,7872
meat,7898
live,7155
coff,3606
germim,59
recommend,5948
pestcid,7367
concern,1200
becaus,8816
alreadi,3570
vaieti,10
handl,2204
caterpilar,196
look,12833
0716474169,6
cotton,4895
quariti,149
rionex,41
continent,31
trsnsplant,2
medic,3684
throught,92
200,1920
sucker,3089
care,12946
knwledg,29
abt,1591
complet,1758
cant,1848
organis,647
farmerd,4
mump,94
calv,8613
icaltiv,1
iget,3844
learn,1139
dig,4313
prantat,73
gete,1057
acaugh,1
influnza,2
contag,36
all,17783
larg,6734
without,10407
too,6467
graze,6779
cough,11784
quantiti,4130
beed,71
appl,5639
defin,3641
term,10382
exot,4743
meal,4275
result,2351
knowledg,2293
asmal,1113
branch,2648
estim,645
budget,308
guid,928
success,1364
apoultri,1132
iam,12407
iwant,11273
defect,165
especi,5098
project,8147
firster,201
websit,96
access,1642
hybrid,7540
ntungamo,905
ever,1221
sorri,514
meant,2929
bannana,350
was,16832
grown,17318
diari,1350
mix,13328
offen,29
wiz,2652
abig,770
skill,674
ov,19076
dot,830
amaiz,1076
kanyagobwa,23
hv,5848
som,94
irishpotato,1039
sack,7444
dose,2806
while,9440
young,27720
techniqu,248
thing,4951
stant,718
faster,8472
y,3498
dehorn,3644
kilogram,6186
request,1419
person,3549
inform,2089
buy,24546
shi,40
unnecessari,20
expens,1383
again,4457
both,4754
earli,6725
late,3387
death,3113
3day,493
mosaic,2149
law,390
line,3009
chamic,738
mite,1543
foot,8788
mouth,11187
traet,32
kajund,120
plantationt,10
sylivia,74
hey,1416
plan,8199
proper,4318
space,27646
de,18736
beak,1256
appropri,3721
knee,622
height,1359
yellowish,7260
contral,2769
yr,1279
pot,380
leve,92
advic,12808
kambuga,22
manur,21553
casava,1167
tombaco,23
spay,458
insecsid,4
drought,2677
twig,166
borer,1180
aserri,3
hazard,81
alex,1533
ekifuruto,23
clean,2765
cocoa,2666
stalkbor,510
im,3972
wilber,94
rugwir,1
nyungu,7
kazo,539
those,8032
pineappl,3576
flue,1662
blight,8379
amongest,54
three,9318
disadvantag,3328
hanana,1
group,3953
cantapil,1
greenhous,2292
warm,3277
profit,7749
commerci,2171
physic,740
visual,7
heat,19421
acow,6944
exercit,1
david,1747
stem,7521
aphid,3622
smart,736
acr,25241
garlic,2199
come,12279
ololulung,6
narok,4015
declin,221
tell,15542
immedi,1785
nurseri,12158
bed,19099
member,7471
advis,14134
nakuru,5598
nairobi,2355
compair,141
robosta,87
corona,736
arab,710
purtur,32
fail,4427
malaba,83
causiv,7
agent,1676
mastiti,5889
biodiposit,3
therapi,543
reason,9735
swarm,973
kgs,6213
300,1140
broiler,9591
upto,2011
surpos,1191
duck,7615
hatch,12142
germ,595
sunflow,3108
fit,2080
despit,768
done,9011
onli,8438
veri,11165
fast,6457
ensur,2230
macdonald,18
ratio,1724
on10kg,1
hask,277
prodlc,1
7day,146
deseas,3284
scabe,5
somebodi,2060
prepar,16657
judi,101
suppos,9710
wk,426
prune,2835
flowerx,6
wth,1384
rootx,8
bnanax,5
ripen,1539
stalkx,1
roten,292
say,9084
omo,414
tri,4861
sure,1805
sent,1478
away,3334
chemicalx,11
effici,503
clear,2122
near,4235
nanyuki,232
witch,97
cereal,1453
orang,7000
pray,421
state,6475
anyon,3819
pigeon,822
replay,87
miraa,1043
beacaus,25
see,4440
whitish,874
powed,13
ash,1599
za,907
various,967
yes,6649
got,7688
die,19839
nyt,648
besid,708
cross,4214
deliv,3495
da,23410
exampl,7275
ignor,134
messag,660
atukundair,2
fed,3751
serv,5950
except,361
vital,441
joto,268
mechanis,425
averag,1690
weight,3680
fulli,834
weigh,1080
inord,2576
standard,1250
offer,1967
agricultur,14907
incent,29
full,4140
carrot,15854
enquir,40
until,2564
break,1788
acalf,1077
seedil,109
pls,2291
reach,3989
elimin,1009
spot,6583
known,1794
pentum,1
resembl,147
mother,4308
icastret,1
locat,5637
kinangop,256
eaten,3920
cloth,1029
tissu,1456
cultur,2471
3week,997
nw,1584
stand,3258
prob,447
acough,83
fertize,788
agarden,1107
same,9146
kampala,5588
ant,2285
deo,517
wic,2456
chamicalz,2
teach,1506
6333,24377
weavil,2047
cal,2861
scatter,134
prun,3220
kilgram,16
rabecca,22
vanella,58
aman,222
dafin,3
tr,114
kamukama,61
amo,733
rukara,2
kiruhura,840
kyenjo,3
1bag,154
emondi,21
paraffin,314
fresh,2772
brian,1116
piant,322
six,1971
answer,14764
lost,2044
thru,219
guava,259
rotten,1518
eventu,424
frequent,965
henc,804
cabbeg,2954
yollow,51
under,5500
irreg,58
turkana,454
temp,273
resist,4512
huch,116
cosiv,3
easili,1268
fartelis,18
app,139
lie,849
wil,6189
po,29
reduc,6202
madicen,200
overcom,1672
couch,613
eldoret,2934
kate,34
plus,2724
wunt,3
connect,1349
phone,2441
few,2105
9,829
materi,3940
wich,9182
durat,1364
constrain,3
encount,375
kashari,91
kagongi,25
subcounti,869
piglet,13952
negoti,277
kisii,2600
mt,1262
univers,182
gesonso,2
hive,5437
ahalf,744
tip,2184
50gms,176
rukungiri,805
kakamega,5437
whitecastl,7
pregnant,11391
lower,1999
pepino,261
drop,4940
log,771
kale,10336
might,10220
hi,5101
ikeep,135
abroblem,12
healthi,5350
talk,1569
godfrey,523
level,1747
consumpt,1178
darken,33
2month,1502
rememb,317
everi,5326
even,9049
separ,1391
flowerinp,3
spend,1663
ok,5213
think,2486
coz,6163
001,13
kanduyi,79
cani,223
cont,127
0700314494,1
balikowa,8
john,3075
kibuku,79
these,7301
sweatpotato,162
harvestor,90
cage,985
convini,70
discus,95
leaf,4726
fold,1472
hve,3902
12,934
nankodo,1
here,7151
mb,56
ra,166
case,1779
wait,2788
expect,4538
go,13054
higher,1217
ed,769
applyng,40
row,1764
eleph,945
loan,6384
alow,241
discount,391
home,3853
incubetor,147
hatchng,50
made,2893
mellon,2143
thenk,79
chich,306
incub,6049
practic,7110
zero,4774
hippopotuma,2
tea,20625
vincent,541
wafula,201
characterist,2924
bos,74
inducus,1
k,2014
f,1920
drink,4090
insemin,3099
purpl,1521
matunda,230
insteadi,82
togeth,3046
idea,1924
suppors,177
fish,17920
consider,280
oooh,43
okello,91
curl,1122
themselv,385
0790820689,1
kyedagara,3
cowpea,1292
disappear,128
deni,958
tabl,435
tilapia,804
ride,111
semen,1103
america,186
decompos,271
dung,2123
safe,1962
stormach,15
densiti,110
abort,1916
fungicid,2952
thrip,688
90kg,1447
honey,7637
muranga,677
abscond,90
rabber,7
cut,7554
horn,1561
cbd,346
remedi,3886
mole,1867
infest,1036
napier,2930
fungal,871
own,2089
kenbro,893
blind,3081
scar,314
head,6571
bi,340
disturb,1075
place,12071
doubl,647
protein,1333
topdress,6460
17,665
blossom,1612
end,5705
rate,3116
dieas,547
kahatia,4
murang,556
jambo,196
someon,6392
busi,4538
let,2967
minimum,1703
maximum,3220
note,446
respons,65105
indic,741
consid,8389
1st,831
ground,4072
plzzz,8
burn,2262
indigen,1323
cn,5280
mugisha,217
benon,138
demarc,3
leomon,4
root,6573
ln,368
fierc,92
bend,759
neck,2213
organ,7585
destro,119
catapila,85
follow,73938
amarket,1037
gloria,2794
f1,6088
3amal,1
kienyenji,888
privent,656
hilli,2339
nappier,2401
she,5392
mate,9121
fodder,1268
fo,1125
dove,1375
mutur,114
peirod,2
sugar,5802
cane,4982
g,13451
preserv,2781
thew,16
swell,3214
behind,677
often,1730
whizz,5
nois,584
posho,541
kases,1536
rinderpest,211
transplant,12863
seedb,4662
kanungu,827
isa,123
anther,267
preganc,56
repli,75863
q19,397
chihuahua,11
length,759
top,13847
dress,10256
eight,755
thousand,639
five,3285
hundr,610
4kg,118
forest,1125
whole,1866
banaana,491
kazund,103
destrol,21
arorrot,1
wll,611
kept,4855
highland,3524
limuru,154
hello,3519
mkulima,331
victoria,318
busia,3077
pepper,3984
siaya,1618
ferter,781
poteto,1050
gestat,8315
fill,642
qmi,2405
parasit,4641
assist,4764
thr,154
alot,7307
famin,160
soft,1822
cash,4162
how2,14
appetit,2029
ddworm,6
gain,1961
greneri,1
mono,682
treet,145
agoat,2077
probabl,301
rare,3088
bacteri,3142
mwea,253
he,6580
bomet,9965
central,1519
next,4632
shamba,6837
big,11873
role,2263
play,993
entula,196
english,3180
softloan,12
spreay,150
deas,1736
pishori,33
whch,5412
sweet,11616
typ,2060
clay,2440
qualif,255
correct,5306
drip,609
approach,210
supermarket,70
vaccin,21787
iz,17535
cabag,2590
rote,1208
sh,2923
catapil,139
quition,9
region,8202
shangi,783
drope,1060
back,3647
againist,24
tuta,841
absoluta,585
short,7371
life,2910
span,660
cat,2893
wyndott,1
dari,193
collard,374
french,2837
daili,3067
fallworm,74
brick,386
lugari,328
wasp,178
intern,1359
coccidi,16
pupa,18
aldult,2
carot,700
peter,2006
actel,387
super,2122
african,864
goodaft,13
lunch,672
word,3189
subcutan,8
mode,230
administr,106
marek,307
qcan,1027
qwhich,10704
4start,5
acattl,285
explain,4725
suit,1551
elpha,25
suchthat,8
neccessari,291
2ft,51
sq,93
ft,229
major,2625
teat,1985
largest,668
exampel,11
built,455
pigz,329
growz,46
stomach,2179
wouldlik,89
also,9396
kloirer,17
fellow,3845
apicultur,918
wheat,4609
uasin,2095
gishu,2078
ai,3131
york,464
reject,190
certain,1447
offici,158
atalk,9
roselin,9
kiria,5
subloc,91
kiharu,20
lettuc,143
150kg,62
veget,12023
anoth,7089
njahi,64
kping,18
real,2033
finish,2321
transport,1080
nursey,121
akilo,1416
0784308559,1
fungsid,10
fertilz,720
design,274
seddl,31
left,2064
unpredict,48
eggplant,4289
josephin,89
expenditur,116
terrac,887
regular,751
pesiticid,3
grind,382
teeth,1939
specif,2852
team,454
hoov,663
semi,2285
desert,1168
within,6322
tran,1926
nzoia,1613
sow,3047
sorgum,677
febuari,46
perform,1375
wel,2165
piggeri,3130
maintain,5342
yeild,2003
western,8015
vihiga,1709
stat,445
box,2566
hectr,323
riogran,2
safari,357
popcon,264
machin,2860
salari,135
110,49
advantag,9071
over,6287
enviroment,84
conserv,1079
oun,5
yard,963
work,8798
second,2242
shortest,833
yam,3775
fat,3471
oat,372
communic,348
side,4180
4tomato,41
extern,861
ni,4002
nini,816
pia,77
inaitaji,8
3000,483
90,717
onto,288
maizeweavil,7
granari,257
quantinti,42
cup,1076
kisoro,398
cover,2269
plantion,972
beanhusk,2
rabit,4006
hop,43
soya,6018
yrs,999
ezera,6
namasak,1
favour,3825
construct,3017
structur,2172
fertilis,9463
boost,2918
greengram,534
field,6795
honeycomb,34
intercrop,3629
expot,8
prove,416
ten,2553
drung,215
justus,340
mwavita,1
crocodil,96
p,3550
scorch,395
nutrient,2858
lack,4071
cornelius,92
curret,47
dis,2295
deafic,10
eeg,163
milton,63
qoliti,1
whihc,8
faterlizar,3
dressing,1
strawberri,911
crossbreed,292
favor,298
veriti,145
jersey,1239
roket,291
harmful,120
pilipili,2490
cide,892
crown,231
rubosta,229
imilk,24
cloat,14
ahigh,291
prise,310
contro,623
herb,997
servic,2127
onc,2393
show,7573
zygot,51
never,1932
form,2767
wonder,929
yet,10585
vitamin,1707
pea,7041
iwould,1800
visit,1088
persist,362
diarhoer,23
hour,1387
damag,1864
mill,759
proces,137
flour,1774
highrat,3
surviv,2426
carri,4147
irrig,6656
destmodium,1
environ,909
slopi,285
75,135
80,413
longer,1121
adiseas,832
iko,577
sawa,121
qwat,548
nambal,484
rbst,1
akg,2483
factor,10790
rise,807
abre,94
0787396278,1
drum,212
speci,3544
merit,459
demerit,313
silent,570
newcastl,5040
ya,4424
njoro,542
radio,537
maisha,29
discuss,296
anti,385
half,4341
wefoudse,1
reciev,453
agribusi,504
howmani,311
fartil,509
acha,23
w,3459
eed,24
prefer,2386
cabbagg,304
bbw,519
shortag,385
belli,310
wimbi,249
inne,58
ahelp,86
fertal,1087
adveris,10
sukuma,14659
wiki,11226
anyfarm,9
individu,199
sometim,2845
faill,84
observ,1115
new,7257
castl,869
round,2093
drumhead,77
other,23995
salt,12112
maclick,261
afyabora,3
inbox,247
0798567487,1
is3,1
cocidio,9
deworm,20365
sygenta,37
starndad,7
acret,8
among,2961
tomatto,353
paper,4234
etc,2029
cheap,1198
sarah,520
crossbre,661
ayshir,147
freishan,11
fungcid,138
naurser,1
tomatoesand,3
perish,305
wre,105
arvest,15
supos,1446
prescrib,67
kelel,57
tamato,247
pure,2433
sahiw,252
a4503,20
arrow,871
nilikuwa,5
nataka,478
kupanda,241
kund,798
mwingi,199
allan,333
4rom,1400
karokarungi,3
hz,142
rough,1701
skin,7251
succpect,1
everyday,786
rene,5
hasband,19
con,546
tommatoleav,1
miscourag,146
cucumb,980
meloon,70
na,4574
dawa,2470
ku,143
7,1875
veryfast,11
4000,247
6000,114
iganga,1158
mayug,750
qtaliti,10
bucket,578
potati,6
kyizari,4
se,1072
lwant,232
challeng,2729
melonfli,22
applic,2441
recomend,2838
upon,249
valley,1347
figur,66
migori,1167
m,7807
kuria,196
west,1709
georg,589
0727436569,7
minut,503
through,3377
vagina,1517
biolog,1121
respect,728
pignet,1
suku,21
germin,10595
pastoralist,28
crisi,43
moham,44
isiolo,152
reed,107
cool,1800
wet,4265
combat,111
rampant,145
weaner,92
2kilo,13
seem,1475
attract,987
infact,126
boiler,295
hot,3483
summer,238
sison,83
rich,1350
vgetabl,14
bnana,29
kephi,45
plr,3
dryness,364
eucalyptus,1837
6year,27
wht,8116
fertel,2047
gave,4650
twin,1765
membran,103
wch,1208
anursb,1
pountri,372
recent,1267
man,2034
total,1286
ratx,2
uxe,148
ax,28
fud,236
discret,10
invit,917
0728174436,1
bulb,1971
ibecom,14
throw,166
part,8590
wound,6364
tapeworm,243
ksh,1389
700,371
multivitamin,364
airos,1
domin,279
termit,2007
acoffe,314
afta,885
tym,2039
cutworm,2432
quision,1
interest,2602
chilli,768
cell,475
0725295490,1
ase,657
bought,1926
kroiler,845
jan,206
session,355
arriv,153
gift,796
partcipat,2
supplement,985
acceler,37
mch,528
far,2737
beet,287
majamaa,2
suffer,6897
groundnut,7948
