item,count
q,1549075
is,964418
i,962786
what,938189
to,896895
the,884224
of,880628
how,699114
can,685831
in,672002
which,473894
a,462172
my,364652
do,362454
and,354005
for,353014
plant,339330
are,272405
it,252534
best,244175
maiz,240688
use,226725
be,186732
cow,186037
have,166749
type,157318
get,155301
that,153705
tomato,152130
on,147548
farm,141594
ask,139700
where,131389
when,116454
doe,115863
one,114972
mani,114723
by,114275
from,112289
grow,107712
me,107331
good,106483
take,103538
much,102927
control,101283
2,101200
bean,100451
should,97841
give,97286
crop,96929
want,96679
we,94259
seed,92082
long,90400
with,89526
hen,85369
caus,85091
chick,85058
farmer,85041
your,84705
banana,84413
am,84020
at,83849
diseas,82421
you,82184
chicken,81186
whi,80461
start,78770
s,77999
repli,75863
price,75031
follow,73938
feed,70618
pig,70064
if,69281
soil,65854
egg,65778
respons,65105
spray,64980
need,64807
market,64037
has,63976
poultri,63626
fertil,63139
milk,63080
potato,62374
they,61399
season,61365
this,61313
know,61281
or,61084
will,60524
goat,58259
but,57056
wat,56717
time,56533
anim,56235
after,54240
cabbag,53935
like,53540
month,53526
rabbit,53090
not,52270
chemic,51661
them,51229
4,50787
u,50663
hw,50529
make,50165
coffe,49764
breed,49485
keep,49392
day,48143
medicin,48072
e,47802
wefarm,47750
problem,47506
harvest,47481
there,45087
product,44972
produc,44694
help,43808
some,43362
prevent,42561
dri,42340
who,41429
fruit,41426
now,40735
leav,40426
varieti,39435
an,39355
counti,39136
cattl,39032
onion,38434
dairi,38421
well,38178
plantat,37828
so,37614
as,37391
weed,36984
water,36815
improv,35765
ani,35448
matur,34979
about,34719
land,34633
name,34051
appli,34021
stop,33896
area,33815
method,33726
way,33720
affect,33423
l,33222
cost,33150
food,32555
rear,32267
lay,31948
pest,31782
garden,31559
dure,31471
would,30697
treat,30102
eat,30069
qn,29181
tree,28261
more,27823
young,27720
space,27646
per,27365
kind,27095
sell,27009
sheep,26442
their,26426
flower,25769
call,25725
could,25686
acr,25241
buy,24546
6333,24377
seedl,24141
period,24078
other,23995
rain,23953
old,23542
da,23410
birth,23389
bee,23274
up,23236
optout,23059
calf,22934
suitabl,22743
t,22585
yellow,22562
qwhat,22547
z,22418
layer,22074
livestock,21969
yield,21908
vaccin,21787
kienyeji,21773
two,21760
import,21738
sign,21709
manur,21553
drug,21485
high,21271
no,20905
passion,20878
question,20782
wilt,20697
tea,20625
cassava,20586
readi,20430
deworm,20365
mean,20287
rice,20231
given,20131
most,20118
die,19839
kill,19784
befor,19704
week,19615
n,19532
watermelon,19453
small,19447
heat,19421
pleas,19353
bed,19099
ov,19076
did,19067
attack,19065
1,19063
grass,18851
kg,18768
de,18736
uganda,18703
local,18597
qualiti,18321
fish,17920
stage,17798
all,17783
manag,17671
green,17633
iz,17535
thank,17496
grown,17318
effect,17168
bird,17134
out,16877
was,16832
prepar,16657
find,16555
irish,16492
year,16107
carrot,15854
money,15838
hous,15833
requir,15743
kenya,15647
tell,15542
been,14930
agricultur,14907
between,14900
answer,14764
sukuma,14659
bull,14192
advis,14134
put,13977
piglet,13952
top,13847
pesticid,13702
tick,13667
g,13451
3,13428
mix,13328
eye,13289
go,13054
care,12946
may,12883
transplant,12863
look,12833
worm,12827
first,12812
advic,12808
herbicid,12797
bag,12733
afarm,12728
black,12720
qhow,12656
growth,12552
increas,12528
district,12503
differ,12451
better,12451
iam,12407
come,12279
nurseri,12158
hatch,12142
salt,12112
our,12111
place,12071
melon,12050
veget,12023
big,11873
turn,11821
sugarcan,11813
cough,11784
bt,11707
measur,11684
sweet,11616
becom,11595
number,11503
apart,11479
plz,11428
than,11402
pregnant,11391
iwant,11273
right,11269
wiki,11226
procedur,11193
mouth,11187
nut,11166
veri,11165
then,10954
treatment,10950
factor,10790
qwhich,10704
germin,10595
j,10594
yet,10585
order,10477
around,10408
without,10407
term,10382
kale,10336
dress,10256
might,10220
dog,10133
destroy,10125
rotat,10032
bomet,9965
b,9935
white,9862
mango,9826
reason,9735
suppos,9710
found,9685
rot,9602
broiler,9591
sale,9474
fertilis,9463
millet,9455
while,9440
mulch,9439
male,9427
also,9396
three,9318
cure,9292
main,9289
colour,9250
wich,9182
possibl,9174
same,9146
mate,9121
age,9111
say,9084
advantag,9071
even,9049
sick,9044
done,9011
femal,8977
castrat,8817
becaus,8816
work,8798
foot,8788
fall,8780
contact,8756
peopl,8732
hole,8693
condit,8690
still,8665
calv,8613
part,8590
each,8478
faster,8472
onli,8438
insect,8400
consid,8389
blight,8379
gestat,8315
chang,8304
benefit,8292
cock,8266
region,8202
plan,8199
eros,8184
ur,8150
project,8147
wht,8116
remov,8115
those,8032
western,8015
d,7972
groundnut,7948
r,7922
were,7907
meat,7898
red,7872
m,7807
off,7756
urin,7751
profit,7749
down,7714
got,7688
current,7666
avoid,7637
honey,7637
duck,7615
en,7613
just,7605
dat,7590
organ,7585
show,7573
cut,7554
