item,count
price,75031
market,64037
cost,33150
sell,27009
buy,24546
yield,21908
money,15838
order,10477
sale,9474
profit,7749
capit,7493
loan,6384
cash,4162
buyer,3125
rate,3116
interest,2602
loss,2242
invest,1517
pay,1475
amarket,1037
fund,935
aloan,733
webuy,639
bank,502
borrow,497
buyend,487
credit,355
payment,346
contract,319
budget,308
seller,296
lend,239
cashcrop,196
moneymak,134
acapit,112
grant,107
abuy,101
ibuy,100
2buy,83
refund,81
tax,81
yieldz,78
supermarket,70
aprofit,69
repay,53
sellng,46
acash,46
investor,46
yielder,44
debt,44
4sale,39
acost,38
capita,37
highyield,35
prepay,34
4sell,31
buyng,31
aloss,30
payabl,30
2sell,29
capitol,28
4market,23
inacost,23
salesladi,23
costpric,22
priceof,22
saler,22
selli,19
marketbl,19
ipay,18
bankrupt,18
yieldng,17
investi,16
tobuy,14
paybil,14
payback,14
lender,14
marketebl,13
profitbl,13
markett,13
expenses̱,13
softloan,12
leasehold,12
buyerz,11
funder,10
buyz,10
sellig,10
marketpric,10
sellerr,10
amoney,9
themarket,9
profitab,9
goodmarket,9
abudget,9
2sale,9
sellin,9
cashcloud,9
costi,8
4buy,8
unprofit,8
